"title","location","price","stars","numReviews","url","habitaciones","camas","baños"
"BALIAN TREEHOUSE w beautiful pool","Balian Beach, Bali, Selemadeg Barat, Indonesia",347,1,98,"https://nextviaje.vercel.app/detalles/balian-treehouse-w-beautiful-pool",1,1,2
"Beautiful Cliff-Side Jungle Villa","Bali, Indonesia",875,2,36,"https://nextviaje.vercel.app/detalles/beautiful-cliffside-jungle-villa",2,1,2
"HIDEOUT BALI - Eco Bamboo Home","Selat, Bali, Indonesia",437,5,46,"https://nextviaje.vercel.app/detalles/hideout-bali-eco-bamboo-home",2,2,2
"Tree House 10 mins drive fr center","Mueang Chiang Mai, Chiang Mai, Tailandia",997,4,78,"https://nextviaje.vercel.app/detalles/tree-house-10-mins-drive-fr-center",3,2,2
"The Astra#Rooftop Pool#Gym#Sauna#Near Nightmarket","Amphoe Mueang Chiang Mai, Chiang Mai, Tailandia",263,2,88,"https://nextviaje.vercel.app/detalles/the-astra-rooftop-pool-gym-sauna-near-nightmarket",3,1,1
"806[SeeView] 3 min. to Chiang Mai Old town","Amphoe Mueang Chiang Mai, Chiang Mai, Tailandia",792,2,38,"https://nextviaje.vercel.app/detalles/806-seeview-3-min-to-chiang-mai-old-town",2,4,2
"CosyRoom near North Gate +free breakfast @AmakaB&B","Muang, Chiang Mai, Tailandia",635,1,250,"https://nextviaje.vercel.app/detalles/cosyroom-near-north-gate-free-breakfast-amakabandb",3,3,2
"Brand-new Apt. near Nimman,SuthepMount.andOld City","Amphoe Mueang Chiang Mai, Chiang Mai, Tailandia",101,3,99,"https://nextviaje.vercel.app/detalles/brandnew-apt-near-nimman-suthepmountandold-city",2,2,1
"Nice & Clean Room in HeyHa House","Chiang Mai, Tailandia",496,4,47,"https://nextviaje.vercel.app/detalles/nice-and-clean-room-in-heyha-house",3,1,2
"Baan Sri Dha - Luxury 3Bed in Town","Hai Ya, Chiang Mai, Tailandia",480,4,87,"https://nextviaje.vercel.app/detalles/baan-sri-dha-luxury-3bed-in-town",2,2,2
"The Hipster Townhome","Su Thep, Chiang Mai, Tailandia",769,4,51,"https://nextviaje.vercel.app/detalles/the-hipster-townhome",2,3,1
"Modern Western Home","A Muang, Chiang Mai, Tailandia",514,1,69,"https://nextviaje.vercel.app/detalles/modern-western-home",1,2,2
"PRIVATE HOUSE IN CHIANGMAI'S HISTORIC CITY.","Tambon Phra Sing, Chiang Mai, Tailandia",821,4,36,"https://nextviaje.vercel.app/detalles/private-house-in-chiangmais-historic-city",1,4,1
"Luxury room in hippest area Nimman/mountain view","Su Thep, Chiang Mai, Tailandia",247,3,78,"https://nextviaje.vercel.app/detalles/luxury-room-in-hippest-area-nimman-mountain-view",2,1,2
"Chiang Mai Changkang Road Luxury The Astra","Chiang Mai, Tailandia",842,3,64,"https://nextviaje.vercel.app/detalles/chiang-mai-changkang-road-luxury-the-astra",2,1,2
"CLEAN CM University+foodstalls+Pool","Chiang Mai, Tailandia",385,1,88,"https://nextviaje.vercel.app/detalles/clean-cm-universityfoodstallspool",2,1,1
"Sala Old Town Singharat Road","Si Phum, Chiang Mai, Tailandia",634,4,36,"https://nextviaje.vercel.app/detalles/sala-old-town-singharat-road",1,2,2
"Villa Nittra Singharaj","Chiang Mai, Tailandia",153,3,64,"https://nextviaje.vercel.app/detalles/villa-nittra-singharaj",2,3,2
"The Centr of Nimman by Palm Springs.","Su Thep, Chiang Mai, Tailandia",94,2,150,"https://nextviaje.vercel.app/detalles/the-centr-of-nimman-by-palm-springs",2,1,1
"City center.close Night Bazaar.old city","Thesaban Nakhon Chiang Mai, Chiang Mai, Tailandia",926,2,120,"https://nextviaje.vercel.app/detalles/city-center-close-night-bazaarold-city",3,3,1
"Modern Beautiful Luxury Boutique Condo","Chiang Mai, Tailandia",650,4,87,"https://nextviaje.vercel.app/detalles/modern-beautiful-luxury-boutique-condo",2,4,2
